particle_grade,medium,time_min,pct_dissolved
Reference (D50=150μm),FaSSIF (pH 6.8),0.0,0.0
Reference (D50=150μm),FaSSIF (pH 6.8),0.2,11.64
Reference (D50=150μm),FaSSIF (pH 6.8),0.4,21.25
Reference (D50=150μm),FaSSIF (pH 6.8),0.6,29.27
Reference (D50=150μm),FaSSIF (pH 6.8),0.8,36.03
Reference (D50=150μm),FaSSIF (pH 6.8),1.0,41.78
Reference (D50=150μm),FaSSIF (pH 6.8),1.2,46.72
Reference (D50=150μm),FaSSIF (pH 6.8),1.4,50.98
Reference (D50=150μm),FaSSIF (pH 6.8),1.61,54.69
Reference (D50=150μm),FaSSIF (pH 6.8),1.81,57.94
Reference (D50=150μm),FaSSIF (pH 6.8),2.01,60.82
Reference (D50=150μm),FaSSIF (pH 6.8),2.21,63.38
Reference (D50=150μm),FaSSIF (pH 6.8),2.41,65.68
Reference (D50=150μm),FaSSIF (pH 6.8),2.61,67.77
Reference (D50=150μm),FaSSIF (pH 6.8),2.81,69.68
Reference (D50=150μm),FaSSIF (pH 6.8),3.01,71.41
Reference (D50=150μm),FaSSIF (pH 6.8),3.21,73.0
Reference (D50=150μm),FaSSIF (pH 6.8),3.41,74.46
Reference (D50=150μm),FaSSIF (pH 6.8),3.61,75.8
Reference (D50=150μm),FaSSIF (pH 6.8),3.81,77.04
Reference (D50=150μm),FaSSIF (pH 6.8),4.01,78.19
Reference (D50=150μm),FaSSIF (pH 6.8),4.21,79.25
Reference (D50=150μm),FaSSIF (pH 6.8),4.41,80.24
Reference (D50=150μm),FaSSIF (pH 6.8),4.62,81.17
Reference (D50=150μm),FaSSIF (pH 6.8),4.82,82.03
Reference (D50=150μm),FaSSIF (pH 6.8),5.02,82.84
Reference (D50=150μm),FaSSIF (pH 6.8),5.22,83.6
Reference (D50=150μm),FaSSIF (pH 6.8),5.42,84.31
Reference (D50=150μm),FaSSIF (pH 6.8),5.62,84.98
Reference (D50=150μm),FaSSIF (pH 6.8),5.82,85.61
Reference (D50=150μm),FaSSIF (pH 6.8),6.02,86.21
Reference (D50=150μm),FaSSIF (pH 6.8),6.22,86.77
Reference (D50=150μm),FaSSIF (pH 6.8),6.42,87.31
Reference (D50=150μm),FaSSIF (pH 6.8),6.62,87.81
Reference (D50=150μm),FaSSIF (pH 6.8),6.82,88.29
Reference (D50=150μm),FaSSIF (pH 6.8),7.02,88.74
